:ID(CWE),:LABEL,cwe_id:int,name:string,abstraction:string,status:string,description:string,owasp_code:string,owasp_title:string,likelihood_of_exploit:string,applicable_platforms:string
390,CWE,390,Detection of Error Condition Without Action,Base,Draft,"The product detects a specific error, but takes no actions to handle the error.",,,,Not Language-Specific
391,CWE,391,Unchecked Error Condition,Base,Incomplete,"[PLANNED FOR DEPRECATION. SEE MAINTENANCE NOTES AND CONSIDER CWE-252, CWE-248, OR CWE-1069.] Ignoring exceptions and other error conditions may allow an attacker to induce unexpected behavior unnoticed.",,,,Not Language-Specific
394,CWE,394,Unexpected Status Code or Return Value,Base,Draft,"The product does not properly check when a function or operation returns a value that is legitimate for the function, but is not expected by the product.",,,,Not Language-Specific
396,CWE,396,Declaration of Catch for Generic Exception,Base,Draft,Catching overly broad exceptions promotes complex error handling code that is more likely to contain security vulnerabilities.,,,,C++
397,CWE,397,Declaration of Throws for Generic Exception,Base,Draft,The product throws or raises an overly broad exceptions that can hide important details and produce inappropriate responses to certain conditions.,,,,C++
402,CWE,402,Transmission of Private Resources into a New Sphere ('Resource Leak'),Class,Draft,The product makes resources available to untrusted parties when those resources are only intended to be accessed by the product.,,,,Not Language-Specific
419,CWE,419,Unprotected Primary Channel,Base,Draft,"The product uses a primary channel for administration or restricted functionality, but it does not properly protect the channel.",,,,Not Language-Specific
424,CWE,424,Improper Protection of Alternate Path,Class,Draft,The product does not sufficiently protect all possible paths that a user can take to access restricted functionality or resources.,,,,Not Language-Specific
425,CWE,425,Direct Request ('Forced Browsing'),Base,Incomplete,"The web application does not adequately enforce appropriate authorization on all restricted URLs, scripts, or files.",,,,Not Language-Specific
426,CWE,426,Untrusted Search Path,Base,Stable,The product searches for critical resources using an externally-supplied search path that can point to resources that are not under the product's direct control.,,,,Not Language-Specific
427,CWE,427,Uncontrolled Search Path Element,Base,Draft,"The product uses a fixed or controlled search path to find resources, but one or more locations in that path can be under the control of unintended actors.",,,,Not Language-Specific
434,CWE,434,Unrestricted Upload of File with Dangerous Type,Base,Draft,The product allows the upload or transfer of dangerous file types that are automatically processed within its environment.,,,,ASP.NET
436,CWE,436,Interpretation Conflict,Class,Incomplete,"Product A handles inputs or steps differently than Product B, which causes A to perform incorrect actions based on its perception of B's state.",,,,Not Language-Specific
441,CWE,441,Unintended Proxy or Intermediary ('Confused Deputy'),Class,Draft,"The product receives a request, message, or directive from an upstream component, but the product does not sufficiently preserve the original source of the request before forwarding the request to an external actor that is outside of the product's control sphere. This causes the product to appear to be the source of the request, leading it to act as a proxy or other intermediary between the upstream component and the external actor.",,,,Not Language-Specific
444,CWE,444,Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),Base,Incomplete,"The product acts as an intermediary HTTP agent (such as a proxy or firewall) in the data flow between two entities such as a client and server, but it does not interpret malformed HTTP requests or responses in ways that are consistent with how the messages will be processed by those entities that are at the ultimate destination.",,,,Not Language-Specific
447,CWE,447,Unimplemented or Unsupported Feature in UI,Base,Draft,"A UI function for a security feature appears to be supported and gives feedback to the user that suggests that it is supported, but the underlying functionality is not implemented.",,,,Not Language-Specific
451,CWE,451,User Interface (UI) Misrepresentation of Critical Information,Class,Draft,"The user interface (UI) does not properly represent critical information to the user, allowing the information - or its source - to be obscured or spoofed. This is often a component in phishing attacks.",,,,Not Language-Specific
454,CWE,454,External Initialization of Trusted Variables or Data Stores,Base,Draft,The product initializes critical internal variables or data stores using inputs that can be modified by untrusted actors.,,,,PHP
460,CWE,460,Improper Cleanup on Thrown Exception,Base,Draft,"The product does not clean up its state or incorrectly cleans up its state when an exception is thrown, leading to unexpected state or control flow.",,,,C
470,CWE,470,Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),Base,Draft,"The product uses external input with reflection to select which classes or code to use, but it does not sufficiently prevent the input from selecting improper classes or code.",,,,Java
472,CWE,472,External Control of Assumed-Immutable Web Parameter,Base,Draft,"The web application does not sufficiently verify inputs that are assumed to be immutable but are actually externally controllable, such as hidden form fields.",,,,Not Language-Specific
476,CWE,476,NULL Pointer Dereference,Base,Stable,The product dereferences a pointer that it expects to be valid but is NULL.,,,,C
477,CWE,477,Use of Obsolete Function,Base,Draft,"The code uses deprecated or obsolete functions, which suggests that the code has not been actively reviewed or maintained.",,,,Not Language-Specific
478,CWE,478,Missing Default Case in Multiple Condition Expression,Base,Draft,"The code does not have a default case in an expression with multiple conditions, such as a switch statement.",,,,C
484,CWE,484,Omitted Break Statement in Switch,Base,Draft,"The product omits a break statement within a switch or similar construct, causing code associated with multiple conditions to execute. This can cause problems when the programmer only intended to execute code associated with one condition.",,,,C
489,CWE,489,Active Debug Code,Base,Draft,The product is released with debugging code still enabled or active.,,,,Not Language-Specific
493,CWE,493,Critical Public Variable Without Final Modifier,Variant,Draft,"The product has a critical public variable that is not final, which allows the variable to be modified to contain unexpected values.",,,,Java
494,CWE,494,Download of Code Without Integrity Check,Base,Draft,The product downloads source code or an executable from a remote location and executes the code without sufficiently verifying the origin and integrity of the code.,,,,Not Language-Specific
497,CWE,497,Exposure of Sensitive System Information to an Unauthorized Control Sphere,Base,Incomplete,The product does not properly prevent sensitive system-level information from being accessed by unauthorized actors who do not have the same level of access to the underlying system as the product does.,,,,Not Language-Specific
500,CWE,500,Public Static Field Not Marked Final,Variant,Draft,"An object contains a public static field that is not marked final, which might allow it to be modified in unexpected ways.",,,,C++
501,CWE,501,Trust Boundary Violation,Base,Draft,The product mixes trusted and untrusted data in the same data structure or structured message.,,,,Not Language-Specific
502,CWE,502,Deserialization of Untrusted Data,Base,Draft,The product deserializes untrusted data without sufficiently ensuring that the resulting data will be valid.,,,,Java
506,CWE,506,Embedded Malicious Code,Class,Incomplete,The product contains code that appears to be malicious in nature.,,,,Not Language-Specific
509,CWE,509,Replicating Malicious Code (Virus or Worm),Base,Incomplete,"Replicating malicious code, including viruses and worms, will attempt to attack other systems once it has successfully compromised the target system or the product.",,,,Not Language-Specific
521,CWE,521,Weak Password Requirements,Base,Draft,The product does not require that users should have strong passwords.,,,,Not Language-Specific
522,CWE,522,Insufficiently Protected Credentials,Class,Incomplete,"The product transmits or stores authentication credentials, but it uses an insecure method that is susceptible to unauthorized interception and/or retrieval.",,,,Not Language-Specific
523,CWE,523,Unprotected Transport of Credentials,Base,Incomplete,Login pages do not use adequate measures to protect the user name and password while they are in transit from the client to the server.,,,,Not Language-Specific
525,CWE,525,Use of Web Browser Cache Containing Sensitive Information,Variant,Incomplete,The web application does not use an appropriate caching policy that specifies the extent to which each web page and associated form fields should be cached.,,,,Not Language-Specific
526,CWE,526,Cleartext Storage of Sensitive Information in an Environment Variable,Variant,Incomplete,The product uses an environment variable to store unencrypted sensitive information.,,,,Not Language-Specific
532,CWE,532,Insertion of Sensitive Information into Log File,Base,Incomplete,The product writes sensitive information to a log file.,,,,Not Language-Specific
538,CWE,538,Insertion of Sensitive Information into Externally-Accessible File or Directory,Base,Draft,"The product places sensitive information into files or directories that are accessible to actors who are allowed to have access to the files, but not to the sensitive information.",,,,Not Language-Specific
539,CWE,539,Use of Persistent Cookies Containing Sensitive Information,Variant,Incomplete,"The web application uses persistent cookies, but the cookies contain sensitive information.",,,,Not Language-Specific
540,CWE,540,Inclusion of Sensitive Information in Source Code,Base,Incomplete,Source code on a web server or repository often contains sensitive information and should generally not be accessible to users.,,,,Not Language-Specific
547,CWE,547,"Use of Hard-coded, Security-relevant Constants",Base,Draft,"The product uses hard-coded constants instead of symbolic names for security-critical values, which increases the likelihood of mistakes during code maintenance or security policy change.",,,,Not Language-Specific
548,CWE,548,Exposure of Information Through Directory Listing,Variant,Draft,The product inappropriately exposes a directory listing with an index of all the resources located inside of the directory.,,,,Not Language-Specific
550,CWE,550,Server-generated Error Message Containing Sensitive Information,Variant,Incomplete,"Certain conditions, such as network failure, will cause a server error message to be displayed.",,,,Not Language-Specific
552,CWE,552,Files or Directories Accessible to External Parties,Base,Draft,"The product makes files or directories accessible to unauthorized actors, even though they should not be.",,,,Not Language-Specific
564,CWE,564,SQL Injection: Hibernate,Variant,Incomplete,Using Hibernate to execute a dynamic SQL statement built with user-controlled input can allow an attacker to modify the statement's meaning or to execute arbitrary SQL commands.,,,,SQL
565,CWE,565,Reliance on Cookies without Validation and Integrity Checking,Base,Incomplete,"The product relies on the existence or values of cookies when performing security-critical operations, but it does not properly ensure that the setting is valid for the associated user.",,,,Not Language-Specific
566,CWE,566,Authorization Bypass Through User-Controlled SQL Primary Key,Variant,Incomplete,"The product uses a database table that includes records that should not be accessible to an actor, but it executes a SQL statement with a primary key that can be controlled by that actor.",,,,SQL
598,CWE,598,Use of HTTP Request With Sensitive Query String,Variant,Draft,"The web application uses an HTTP method to process a request, but the request includes sensitive information in the query string.",,,,Not Language-Specific
601,CWE,601,URL Redirection to Untrusted Site ('Open Redirect'),Base,Draft,"The web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a redirect.",,,,Not Language-Specific
602,CWE,602,Client-Side Enforcement of Server-Side Security,Class,Draft,The product is composed of a server that relies on the client to implement a mechanism that is intended to protect the server.,,,,Not Language-Specific
610,CWE,610,Externally Controlled Reference to a Resource in Another Sphere,Class,Draft,The product uses an externally controlled name or reference that resolves to a resource that is outside of the intended control sphere.,,,,Not Language-Specific
611,CWE,611,Improper Restriction of XML External Entity Reference,Base,Draft,"The product processes an XML document that can contain XML entities with URIs that resolve to documents outside of the intended sphere of control, causing the product to embed incorrect documents into its output.",,,,XML
613,CWE,613,Insufficient Session Expiration,Base,Incomplete,"According to WASC, Insufficient Session Expiration is when a web site permits an attacker to reuse old session credentials or session IDs for authorization.",,,,Not Language-Specific
614,CWE,614,Sensitive Cookie in HTTPS Session Without 'Secure' Attribute,Variant,Draft,The Secure attribute for sensitive cookies in HTTPS sessions is not set.,,,,
615,CWE,615,Inclusion of Sensitive Information in Source Code Comments,Variant,Incomplete,"While adding general comments is very useful, some programmers tend to leave important data, such as: filenames related to the web application, old links or links which were not meant to be browsed by users, old code fragments, etc.",,,,Not Language-Specific
620,CWE,620,Unverified Password Change,Base,Draft,"When setting a new password for a user, the product does not require knowledge of the original password, or using another form of authentication.",,,,Not Language-Specific
628,CWE,628,Function Call with Incorrectly Specified Arguments,Base,Draft,"The product calls a function, procedure, or routine with arguments that are not correctly specified, leading to always-incorrect behavior and resultant weaknesses.",,,,Not Language-Specific
636,CWE,636,Not Failing Securely ('Failing Open'),Class,Draft,"When the product encounters an error condition or failure, its design requires it to fall back to a state that is less secure than other options that are available, such as selecting the weakest encryption algorithm or using the most permissive access control restrictions.",,,,Not Language-Specific
639,CWE,639,Authorization Bypass Through User-Controlled Key,Base,Incomplete,The system's authorization functionality does not prevent one user from gaining access to another user's data or record by modifying the key value identifying the data.,,,,Not Language-Specific
640,CWE,640,Weak Password Recovery Mechanism for Forgotten Password,Base,Incomplete,"The product contains a mechanism for users to recover or change their passwords without knowing the original password, but the mechanism is weak.",,,,Not Language-Specific
642,CWE,642,External Control of Critical State Data,Class,Draft,"The product stores security-critical state information about its users, or the product itself, in a location that is accessible to unauthorized actors.",,,,Not Language-Specific
643,CWE,643,Improper Neutralization of Data within XPath Expressions ('XPath Injection'),Base,Incomplete,"The product uses external input to dynamically construct an XPath expression used to retrieve data from an XML database, but it does not neutralize or incorrectly neutralizes that input. This allows an attacker to control the structure of the query.",,,,Not Language-Specific
644,CWE,644,Improper Neutralization of HTTP Headers for Scripting Syntax,Variant,Incomplete,"The product does not neutralize or incorrectly neutralizes web scripting syntax in HTTP headers that can be used by web browser components that can process raw headers, such as Flash.",,,,Not Language-Specific
646,CWE,646,Reliance on File Name or Extension of Externally-Supplied File,Variant,Incomplete,"The product allows a file to be uploaded, but it relies on the file name or extension of the file to determine the appropriate behaviors. This could be used by attackers to cause the file to be misclassified and processed in a dangerous fashion.",,,,Not Language-Specific
653,CWE,653,Improper Isolation or Compartmentalization,Class,Draft,"The product does not properly compartmentalize or isolate functionality, processes, or resources that require different privilege levels, rights, or permissions.",,,,Not Language-Specific
656,CWE,656,Reliance on Security Through Obscurity,Class,Draft,"The product uses a protection mechanism whose strength depends heavily on its obscurity, such that knowledge of its algorithms or key data is sufficient to defeat the mechanism.",,,,Not Language-Specific
657,CWE,657,Violation of Secure Design Principles,Class,Draft,The product violates well-established principles for secure design.,,,,Not Language-Specific
668,CWE,668,Exposure of Resource to Wrong Sphere,Class,Draft,"The product exposes a resource to the wrong control sphere, providing unintended actors with inappropriate access to the resource.",,,,Not Language-Specific
676,CWE,676,Use of Potentially Dangerous Function,Base,Draft,"The product invokes a potentially dangerous function that could introduce a vulnerability if it is used incorrectly, but the function can also be used safely.",,,,C
693,CWE,693,Protection Mechanism Failure,Pillar,Draft,The product does not use or incorrectly uses a protection mechanism that provides sufficient defense against directed attacks against the product.,,,,Not Language-Specific
703,CWE,703,Improper Check or Handling of Exceptional Conditions,Pillar,Incomplete,The product does not properly anticipate or handle exceptional conditions that rarely occur during normal operation of the product.,,,,Not Language-Specific
732,CWE,732,Incorrect Permission Assignment for Critical Resource,Class,Draft,The product specifies permissions for a security-critical resource in a way that allows that resource to be read or modified by unintended actors.,,,,Not Language-Specific
749,CWE,749,Exposed Dangerous Method or Function,Base,Incomplete,"The product provides an Applications Programming Interface (API) or similar interface for interaction with external actors, but the interface includes a dangerous method or function that is not properly restricted.",,,,Not Language-Specific
754,CWE,754,Improper Check for Unusual or Exceptional Conditions,Class,Incomplete,The product does not check or incorrectly checks for unusual or exceptional conditions that are not expected to occur frequently during day to day operation of the product.,,,,Not Language-Specific
755,CWE,755,Improper Handling of Exceptional Conditions,Class,Incomplete,The product does not handle or incorrectly handles an exceptional condition.,,,,Not Language-Specific
756,CWE,756,Missing Custom Error Page,Base,Incomplete,"The product does not return custom error pages to the user, possibly exposing sensitive information.",,,,Not Language-Specific
757,CWE,757,Selection of Less-Secure Algorithm During Negotiation ('Algorithm Downgrade'),Base,Incomplete,"A protocol or its implementation supports interaction between multiple actors and allows those actors to negotiate which algorithm should be used as a protection mechanism such as encryption or authentication, but it does not select the strongest algorithm that is available to both parties.",,,,Not Language-Specific
759,CWE,759,Use of a One-Way Hash without a Salt,Variant,Incomplete,"The product uses a one-way cryptographic hash against an input that should not be reversible, such as a password, but the product does not also use a salt as part of the input.",,,,Not Language-Specific
760,CWE,760,Use of a One-Way Hash with a Predictable Salt,Variant,Incomplete,"The product uses a one-way cryptographic hash against an input that should not be reversible, such as a password, but the product uses a predictable salt as part of the input.",,,,Not Language-Specific
776,CWE,776,Improper Restriction of Recursive Entity References in DTDs ('XML Entity Expansion'),Base,Draft,"The product uses XML documents and allows their structure to be defined with a Document Type Definition (DTD), but it does not properly control the number of recursive definitions of entities.",,,,XML
778,CWE,778,Insufficient Logging,Base,Draft,"When a security-critical event occurs, the product either does not record the event or omits important details about the event when logging it.",,,,Not Language-Specific
780,CWE,780,Use of RSA Algorithm without OAEP,Variant,Incomplete,"The product uses the RSA algorithm but does not incorporate Optimal Asymmetric Encryption Padding (OAEP), which might weaken the encryption.",,,,Not Language-Specific
784,CWE,784,Reliance on Cookies without Validation and Integrity Checking in a Security Decision,Variant,Draft,"The product uses a protection mechanism that relies on the existence or values of a cookie, but it does not properly ensure that the cookie is valid for the associated user.",,,,Not Language-Specific
798,CWE,798,Use of Hard-coded Credentials,Base,Draft,"The product contains hard-coded credentials, such as a password or cryptographic key.",,,,Not Language-Specific
799,CWE,799,Improper Control of Interaction Frequency,Class,Incomplete,"The product does not properly limit the number or frequency of interactions that it has with an actor, such as the number of incoming requests.",,,,Not Language-Specific
807,CWE,807,Reliance on Untrusted Inputs in a Security Decision,Base,Incomplete,"The product uses a protection mechanism that relies on the existence or values of an input, but the input can be modified by an untrusted actor in a way that bypasses the protection mechanism.",,,,Not Language-Specific
829,CWE,829,Inclusion of Functionality from Untrusted Control Sphere,Base,Incomplete,"The product imports, requires, or includes executable functionality (such as a library) from a source that is outside of the intended control sphere.",,,,Not Language-Specific
830,CWE,830,Inclusion of Web Functionality from an Untrusted Source,Variant,Incomplete,"The product includes web functionality (such as a web widget) from another domain, which causes it to operate within the domain of the product, potentially granting total access and control of the product to the untrusted source.",,,,Not Language-Specific
841,CWE,841,Improper Enforcement of Behavioral Workflow,Class,Incomplete,"The product supports a session in which more than one behavior must be performed by an actor, but it does not properly ensure that the actor performs the behaviors in the required sequence.",,,,Not Language-Specific
862,CWE,862,Missing Authorization,Class,Incomplete,The product does not perform an authorization check when an actor attempts to access a resource or perform an action.,,,,Not Language-Specific
863,CWE,863,Incorrect Authorization,Class,Incomplete,"The product performs an authorization check when an actor attempts to access a resource or perform an action, but it does not correctly perform the check.",,,,Not Language-Specific
915,CWE,915,Improperly Controlled Modification of Dynamically-Determined Object Attributes,Base,Incomplete,"The product receives input from an upstream component that specifies multiple attributes, properties, or fields that are to be initialized or updated in an object, but it does not properly control which attributes can be modified.",,,,Ruby
916,CWE,916,Use of Password Hash With Insufficient Computational Effort,Base,Incomplete,"The product generates a hash for a password, but it uses a scheme that does not provide a sufficient level of computational effort that would make password cracking attacks infeasible or expensive.",,,,Not Language-Specific
917,CWE,917,Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),Base,Incomplete,"The product constructs all or part of an expression language (EL) statement in a framework such as a Java Server Page (JSP) using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended EL statement before it is executed.",,,,Java
918,CWE,918,Server-Side Request Forgery (SSRF),Base,Incomplete,"The web server receives a URL or similar request from an upstream component and retrieves the contents of this URL, but it does not sufficiently ensure that the request is being sent to the expected destination.",,,,Not Language-Specific
922,CWE,922,Insecure Storage of Sensitive Information,Class,Incomplete,The product stores sensitive information without properly limiting read or write access by unauthorized actors.,,,,Not Language-Specific
926,CWE,926,Improper Export of Android Application Components,Variant,Incomplete,"The Android application exports a component for use by other applications, but does not properly restrict which applications can launch the component or access the data it contains.",,,,Not Language-Specific
940,CWE,940,Improper Verification of Source of a Communication Channel,Base,Incomplete,"The product establishes a communication channel to handle an incoming request that has been initiated by an actor, but it does not properly verify that the request is coming from the expected origin.",,,,Not Language-Specific
941,CWE,941,Incorrectly Specified Destination in a Communication Channel,Base,Incomplete,"The product creates a communication channel to initiate an outgoing request to an actor, but it does not correctly specify the intended destination for that actor.",,,,Not Language-Specific
942,CWE,942,Permissive Cross-domain Security Policy with Untrusted Domains,Variant,Incomplete,"The product uses a web-client protection mechanism such as a Content Security Policy (CSP) or cross-domain policy file, but the policy includes untrusted domains with which the web client is allowed to communicate.",,,,Not Language-Specific
1004,CWE,1004,Sensitive Cookie Without 'HttpOnly' Flag,Variant,Incomplete,"The product uses a cookie to store sensitive information, but the cookie is not marked with the HttpOnly flag.",,,,Not Language-Specific
1021,CWE,1021,Improper Restriction of Rendered UI Layers or Frames,Base,Incomplete,The web application does not restrict or incorrectly restricts frame objects or UI layers that belong to another application or domain.,,,,Not Language-Specific
1022,CWE,1022,Use of Web Link to Untrusted Target with window.opener Access,Variant,Incomplete,"The web application produces links to untrusted external sites outside of its sphere of control, but it does not properly prevent the external site from modifying security-critical properties of the window.opener object, such as the location property.",,,,JavaScript
1104,CWE,1104,Use of Unmaintained Third Party Components,Base,Incomplete,The product relies on third-party components that are not actively supported or maintained by the original developer or a trusted proxy for the original developer.,,,,Not Language-Specific
1125,CWE,1125,Excessive Attack Surface,Base,Incomplete,The product has an attack surface whose quantitative measurement exceeds a desirable maximum.,,,,Not Language-Specific
1174,CWE,1174,ASP.NET Misconfiguration: Improper Model Validation,Variant,Draft,"The ASP.NET application does not use, or incorrectly uses, the model validation framework.",,,,ASP.NET
1240,CWE,1240,Use of a Cryptographic Primitive with a Risky Implementation,Base,Draft,"To fulfill the need for a cryptographic primitive, the product implements a cryptographic algorithm using a non-standard, unproven, or disallowed/non-compliant cryptographic implementation.",,,,Not Language-Specific
1241,CWE,1241,Use of Predictable Algorithm in Random Number Generator,Base,Draft,The device uses an algorithm that is predictable and generates a pseudo-random number.,,,,
1275,CWE,1275,Sensitive Cookie with Improper SameSite Attribute,Variant,Incomplete,"The SameSite attribute for sensitive cookies is not set, or an insecure value is used.",,,,Not Language-Specific
1329,CWE,1329,Reliance on Component That is Not Updateable,Base,Incomplete,The product contains a component that cannot be updated or patched in order to remove vulnerabilities or significant bugs.,,,,Not Language-Specific
1390,CWE,1390,Weak Authentication,Class,Incomplete,"The product uses an authentication mechanism to restrict access to specific users or identities, but the mechanism does not sufficiently prove that the claimed identity is correct.",,,,Not Language-Specific
1391,CWE,1391,Use of Weak Credentials,Class,Incomplete,"The product uses weak credentials (such as a default key or hard-coded password) that can be calculated, derived, reused, or guessed by an attacker.",,,,Not Language-Specific
1392,CWE,1392,Use of Default Credentials,Base,Incomplete,The product uses default credentials (such as passwords or cryptographic keys) for potentially critical functionality.,,,,Not Language-Specific
1393,CWE,1393,Use of Default Password,Base,Incomplete,The product uses default passwords for potentially critical functionality.,,,,Not Language-Specific
1395,CWE,1395,Dependency on Vulnerable Third-Party Component,Class,Incomplete,The product has a dependency on a third-party component that contains one or more known vulnerabilities.,,,,Not Language-Specific
1436,OWASP_CATEGORY,1436,OWASP Top Ten 2025 Category A01:2025 - Broken Access Control,Category,Incomplete,"Weaknesses in this category are related to the A01 category ""Broken Access Control"" in the OWASP Top Ten 2025.",A01:2025,Broken Access Control,,Not Language-Specific
1437,OWASP_CATEGORY,1437,OWASP Top Ten 2025 Category A02:2025 - Security Misconfiguration,Category,Incomplete,"Weaknesses in this category are related to the A02 category ""Security Misconfiguration"" in the OWASP Top Ten 2025.",A02:2025,Security Misconfiguration,,Not Language-Specific
1438,OWASP_CATEGORY,1438,OWASP Top Ten 2025 Category A03:2025 - Software Supply Chain Failures,Category,Incomplete,"Weaknesses in this category are related to the A03 category ""Software Supply Chain Failures"" in the OWASP Top Ten 2025.",A03:2025,Software Supply Chain Failures,,Not Language-Specific
1439,OWASP_CATEGORY,1439,OWASP Top Ten 2025 Category A04:2025 - Cryptographic Failures,Category,Incomplete,"Weaknesses in this category are related to the A04 category ""Cryptographic Failures"" in the OWASP Top Ten 2025.",A04:2025,Cryptographic Failures,,Not Language-Specific
1440,OWASP_CATEGORY,1440,OWASP Top Ten 2025 Category A05:2025 - Injection,Category,Incomplete,"Weaknesses in this category are related to the A05 category ""Injection"" in the OWASP Top Ten 2025.",A05:2025,Injection,,Not Language-Specific
1441,OWASP_CATEGORY,1441,OWASP Top Ten 2025 Category A06:2025 - Insecure Design,Category,Incomplete,"Weaknesses in this category are related to the A06 category ""Insecure Design"" in the OWASP Top Ten 2025.",A06:2025,Insecure Design,,Not Language-Specific
1442,OWASP_CATEGORY,1442,OWASP Top Ten 2025 Category A07:2025 - Authentication Failures,Category,Incomplete,"Weaknesses in this category are related to the A07 category ""Authentication Failures"" in the OWASP Top Ten 2025.",A07:2025,Authentication Failures,,Not Language-Specific
1443,OWASP_CATEGORY,1443,OWASP Top Ten 2025 Category A08:2025 - Software or Data Integrity Failures,Category,Incomplete,"Weaknesses in this category are related to the A08 category ""Software or Data Integrity Failures"" in the OWASP Top Ten 2025.",A08:2025,Software or Data Integrity Failures,,Not Language-Specific
1444,OWASP_CATEGORY,1444,OWASP Top Ten 2025 Category A09:2025 - Logging and Alerting Failures,Category,Incomplete,"Weaknesses in this category are related to the A09 category ""Logging and Alerting Failures"" in the OWASP Top Ten 2025.",A09:2025,Logging and Alerting Failures,,Not Language-Specific
1445,OWASP_CATEGORY,1445,OWASP Top Ten 2025 Category A10:2025 - Mishandling of Exceptional Conditions,Category,Incomplete,"Weaknesses in this category are related to the A10 category ""Mishandling of Exceptional Conditions"" in the OWASP Top Ten 2025.",A10:2025,Mishandling of Exceptional Conditions,,Not Language-Specific
1450,OWASP_VIEW,1450,Weaknesses in OWASP Top Ten RC1 (2025),Category,Incomplete,Weaknesses in this category are related to the OWASP Top Ten (2025). This category is provided to give overview of the OWASP Top Ten 2025.,,,,Not Language-Specific
