d3fend_id,d3fend_name,d3fend_tactic,description,digital_artifacts,counters_attack_ids,url,matrix
D3-AA,Agent Authentication,,Agent authentication is the process of verifying the identities of agents to ensure they are authorized and trustworthy participants within a system.,Harden,,https://d3fend.mitre.org/technique/d3f:AgentAuthentication/,d3fend
D3-ABPI,Application-based Process Isolation,,Application code which prevents its own subroutines from accessing intra-process / internal memory space.,,,https://d3fend.mitre.org/technique/d3f:Application-basedProcessIsolation/,d3fend
D3-ACA,Active Certificate Analysis,,Actively collecting PKI certificates by connecting to the server and downloading its server certificates for analysis.,,,https://d3fend.mitre.org/technique/d3f:ActiveCertificateAnalysis/,d3fend
D3-ACH,Application Configuration Hardening,,Modifying an application's configuration to reduce its attack surface.,,,https://d3fend.mitre.org/technique/d3f:ApplicationConfigurationHardening/,d3fend
D3-AEM,Application Exception Monitoring,,Monitoring the failures of system counters and timers.,,,https://d3fend.mitre.org/technique/d3f:ApplicationExceptionMonitoring/,d3fend
D3-AH,Application Hardening,,Application Hardening makes an executable application more resilient to a class of exploits which either introduce new code or execute unwanted existing code. These techniques may be applied at compile-time or on an application binary.,Harden,,https://d3fend.mitre.org/technique/d3f:ApplicationHardening/,d3fend
D3-AI,Asset Inventory,,Asset inventorying identifies and records the organization's assets and enriches each inventory item with knowledge about their vulnerabilities.,Model,,https://d3fend.mitre.org/technique/d3f:AssetInventory/,d3fend
D3-AL,Account Locking,,The process of temporarily disabling user accounts on a system or domain.,,,https://d3fend.mitre.org/technique/d3f:AccountLocking/,d3fend
D3-ALLM,Active Logical Link Mapping,,"Active logical link mapping sends and receives network traffic as a means to map the whole data link layer, where the links represent logical data flows rather than physical connection",,,https://d3fend.mitre.org/technique/d3f:ActiveLogicalLinkMapping/,d3fend
D3-AM,Access Modeling,,"Access modeling captures and records the access permissions granted to identities (e.g., administrators, users, groups, systems) and optionally includes details on how these identities are stored, managed, and shared across systems.",,,https://d3fend.mitre.org/technique/d3f:AccessModeling/,d3fend
D3-AMED,Access Mediation,,"Access mediation is the process of granting or denying specific requests to: 1) obtain and use information and related information processing services; and 2) enter specific physical facilities (e.g., Federal buildings, military establishments, border crossing entrances). Access mediation decisions should enforce least privilege by granting access for scoped durations to prevent privilege creep and, where applicable, implement just-in-time (JIT) access. Denial decisions may prevent initial access or terminate access that has already been granted, ensuring continuous enforcement of security policies.",Isolate,,https://d3fend.mitre.org/technique/d3f:AccessMediation/,d3fend
D3-ANAA,Administrative Network Activity Analysis,,Detection of unauthorized use of administrative network protocols by analyzing network activity against a baseline.,IntranetAdministrativeNetworkTraffic,,https://d3fend.mitre.org/technique/d3f:AdministrativeNetworkActivityAnalysis/,d3fend
D3-ANCI,Authentication Cache Invalidation,,Removing tokens or credentials from an authentication cache to prevent further user associated account accesses.,,,https://d3fend.mitre.org/technique/d3f:AuthenticationCacheInvalidation/,d3fend
D3-ANET,Authentication Event Thresholding,,"Collecting authentication events, creating a baseline user profile, and determining whether authentication events are consistent with the baseline profile.",Authentication,,https://d3fend.mitre.org/technique/d3f:AuthenticationEventThresholding/,d3fend
D3-APA,Access Policy Administration,,"Access policy administration is the systematic process of defining, implementing, and managing access control policies that dictate user permissions to resources.",Isolate,,https://d3fend.mitre.org/technique/d3f:AccessPolicyAdministration/,d3fend
D3-APCA,Application Protocol Command Analysis,,Analyzing application protocol level remote commands to detect unauthorized activity.,,,https://d3fend.mitre.org/technique/d3f:ApplicationProtocolCommandAnalysis/,d3fend
D3-APLM,Active Physical Link Mapping,,Active physical link mapping sends and receives network traffic as a means to map the physical layer.,,,https://d3fend.mitre.org/technique/d3f:ActivePhysicalLinkMapping/,d3fend
D3-APM,Application Performance Monitoring,,Monitoring the count and duration of the application or program cycle.,,,https://d3fend.mitre.org/technique/d3f:ApplicationPerformanceMonitoring/,d3fend
D3-ARMA,ARMA Model,,"Autoregressive-moving-average (ARMA) models provide a parsimonious description of a (weakly) stationary stochastic process in terms of two polynomials, one for the autoregression (AR) and the second for the moving average (MA).",,,https://d3fend.mitre.org/technique/d3f:ARMA_Model/,d3fend
D3-AVE,Asset Vulnerability Enumeration,,Asset vulnerability enumeration enriches inventory items with knowledge identifying their vulnerabilities.,,,https://d3fend.mitre.org/technique/d3f:AssetVulnerabilityEnumeration/,d3fend
D3-AZET,Authorization Event Thresholding,,"Collecting authorization events, creating a baseline user profile, and determining whether authorization events are consistent with the baseline profile.",Authorization,,https://d3fend.mitre.org/technique/d3f:AuthorizationEventThresholding/,d3fend
D3-BA,Bootloader Authentication,,Cryptographically authenticating the bootloader software before system boot.,,,https://d3fend.mitre.org/technique/d3f:BootloaderAuthentication/,d3fend
D3-BAN,Biometric Authentication,,Using biological measures in order to authenticate a user.,,,https://d3fend.mitre.org/technique/d3f:BiometricAuthentication/,d3fend
D3-BDI,Broadcast Domain Isolation,,Broadcast isolation restricts the number of computers a host can contact on their LAN.,,,https://d3fend.mitre.org/technique/d3f:BroadcastDomainIsolation/,d3fend
D3-BMA,Bus Message Authentication,,Applies cryptographic primitives to individual bus frames to verify the sender's identity and ensure the integrity of the data payload.,,,https://d3fend.mitre.org/technique/d3f:BusMessageAuthentication/,d3fend
D3-BSE,Byte Sequence Emulation,,Analyzing sequences of bytes and determining if they likely represent malicious shellcode.,,,https://d3fend.mitre.org/technique/d3f:ByteSequenceEmulation/,d3fend
D3-CA,Certificate Analysis,,"Analyzing Public Key Infrastructure certificates to detect if they have been misconfigured or spoofed using both network traffic, certificate fields and third-party logs.",CertificateFile,,https://d3fend.mitre.org/technique/d3f:CertificateAnalysis/,d3fend
D3-CAA,Connection Attempt Analysis,,Analyzing failed connections in a network to detect unauthorized activity.,IntranetNetworkTraffic,,https://d3fend.mitre.org/technique/d3f:ConnectionAttemptAnalysis/,d3fend
D3-CBAN,Certificate-based Authentication,,Requiring a digital certificate in order to authenticate a user.,,,https://d3fend.mitre.org/technique/d3f:Certificate-basedAuthentication/,d3fend
D3-CCSA,Credential Compromise Scope Analysis,,Determining which credentials may have been compromised by analyzing the user logon history of a particular system.,Credential,,https://d3fend.mitre.org/technique/d3f:CredentialCompromiseScopeAnalysis/,d3fend
D3-CDP,Change Default Password,,"Changing the default password means replacing the factory-set credentials with a strong, unique password before the device is deployed, preventing unauthorized access.",,,https://d3fend.mitre.org/technique/d3f:ChangeDefaultPassword/,d3fend
D3-CE,Credential Eviction,,Credential Eviction techniques disable or remove compromised credentials from a computer network.,Evict,,https://d3fend.mitre.org/technique/d3f:CredentialEviction/,d3fend
D3-CERO,Certificate Rotation,,"Certificate rotation involves replacing digital certificates and their private keys to maintain cryptographic integrity and trust, mitigating key compromise risks and ensuring continuous secure communications.",,,https://d3fend.mitre.org/technique/d3f:CertificateRotation/,d3fend
D3-CF,Content Filtering,,Content Filtering techniques aid in the process of analyzing an input file for malicious or erroneous content and outputing a sanitized version.,Isolate,,https://d3fend.mitre.org/technique/d3f:ContentFiltering/,d3fend
D3-CFC,Content Format Conversion,,Content format conversion is mechanical transformation from one format to another which may be normalization or specifically flattening.,,,https://d3fend.mitre.org/technique/d3f:ContentFormatConversion/,d3fend
D3-CFI,Control Flow Integrity,,Enforcing legal control flow transfers during application process execution.,,,https://d3fend.mitre.org/technique/d3f:ControlFlowIntegrity/,d3fend
D3-CH,Credential Hardening,,Credential Hardening techniques modify system or network properties in order to protect system or network/domain credentials.,Harden,,https://d3fend.mitre.org/technique/d3f:CredentialHardening/,d3fend
D3-CHN,Connected Honeynet,,"A decoy service, system, or environment, that is connected to the enterprise network, and simulates or emulates certain functionality to the network, without exposing full access to a production system.",,,https://d3fend.mitre.org/technique/d3f:ConnectedHoneynet/,d3fend
D3-CI,Configuration Inventory,,Configuration inventory identifies and records the configuration of software and hardware and their components throughout the organization.,,,https://d3fend.mitre.org/technique/d3f:ConfigurationInventory/,d3fend
D3-CIA,Container Image Analysis,,Analyzing a Container Image with respect to a set of policies.,ContainerImage,,https://d3fend.mitre.org/technique/d3f:ContainerImageAnalysis/,d3fend
D3-CM,Content Modification,,Modify content that does not comply with policy.,,,https://d3fend.mitre.org/technique/d3f:ContentModification/,d3fend
D3-CNE,Content Excision,,"Removing specific, potentially malicious, parts of content",,,https://d3fend.mitre.org/technique/d3f:ContentExcision/,d3fend
D3-CNR,Content Rebuild,,Rebuild the file according to the spec so any unreferenced components or objects are removed.,,,https://d3fend.mitre.org/technique/d3f:ContentRebuild/,d3fend
D3-CNS,Content Substitution,,Modifies specific digital content information by replacing it with something else.,,,https://d3fend.mitre.org/technique/d3f:ContentSubstitution/,d3fend
D3-CP,Certificate Pinning,,Persisting either a server's X.509 certificate or their public key and comparing that to server's presented identity to allow for greater client confidence in the remote server's identity for SSL connections.,,,https://d3fend.mitre.org/technique/d3f:CertificatePinning/,d3fend
D3-CQ,Content Quarantine,,Transfer content that does not comply with policy to a quarantine zone.,,,https://d3fend.mitre.org/technique/d3f:ContentQuarantine/,d3fend
D3-CR,Credential Revocation,,Deleting a set of credentials permanently to prevent them from being used to authenticate.,,,https://d3fend.mitre.org/technique/d3f:CredentialRevocation/,d3fend
D3-CRO,Credential Rotation,,"Credential rotation is a security procedure in which authentication credentials, such as passwords, API keys, or certificates, are regularly changed or replaced to minimize the risk of unauthorized access.",,,https://d3fend.mitre.org/technique/d3f:CredentialRotation/,d3fend
D3-CS,Credential Scrubbing,,The systematic removal of hard-coded credentials from source code to prevent accidental exposure and unauthorized access.,,,https://d3fend.mitre.org/technique/d3f:CredentialScrubbing/,d3fend
D3-CSPP,Client-server Payload Profiling,,Comparing client-server request and response payloads to a baseline profile to identify outliers.,NetworkTraffic,,https://d3fend.mitre.org/technique/d3f:Client-serverPayloadProfiling/,d3fend
D3-CTS,Credential Transmission Scoping,,Limiting the transmission of a credential to a scoped set of relying parties.,,,https://d3fend.mitre.org/technique/d3f:CredentialTransmissionScoping/,d3fend
D3-CV,Content Validation,,Verify and validate contents complies with policy,,,https://d3fend.mitre.org/technique/d3f:ContentValidation/,d3fend
D3-DA,Dynamic Analysis,,"Executing or opening a file in a synthetic ""sandbox"" environment to determine if the file is a malicious program or if the file exploits another program such as a document reader.",DocumentFile|ExecutableFile,,https://d3fend.mitre.org/technique/d3f:DynamicAnalysis/,d3fend
D3-DAM,Domain Account Monitoring,,Monitoring the existence of or changes to Domain User Accounts.,,,https://d3fend.mitre.org/technique/d3f:DomainAccountMonitoring/,d3fend
D3-DCE,Dead Code Elimination,,"Removing unreachable or ""dead code"" from compiled source code.",,,https://d3fend.mitre.org/technique/d3f:DeadCodeElimination/,d3fend
D3-DE,Decoy Environment,,A Decoy Environment comprises hosts and networks for the purposes of deceiving an attacker.,Deceive,,https://d3fend.mitre.org/technique/d3f:DecoyEnvironment/,d3fend
D3-DEM,Data Exchange Mapping,,"Data exchange mapping identifies and models the organization's intended design for the flows of the data types, formats, and volumes between systems at the application layer.",,,https://d3fend.mitre.org/technique/d3f:DataExchangeMapping/,d3fend
D3-DENCR,Disk Encryption,,Encrypting a hard disk partition to prevent cleartext access to a file system.,,,https://d3fend.mitre.org/technique/d3f:DiskEncryption/,d3fend
D3-DF,Decoy File,,A file created for the purposes of deceiving an adversary.,,,https://d3fend.mitre.org/technique/d3f:DecoyFile/,d3fend
D3-DI,Data Inventory,,"Data inventorying identifies and records the schemas, formats, volumes, and locations of data stored and used on the organization's architecture.",,,https://d3fend.mitre.org/technique/d3f:DataInventory/,d3fend
D3-DKE,Disk Erasure,,Disk Erasure is the process of securely deleting all data on a disk to ensure that it cannot be recovered by any means.,,,https://d3fend.mitre.org/technique/d3f:DiskErasure/,d3fend
D3-DKF,Disk Formatting,,"Disk Formatting is the process of preparing a data storage device, such as a hard drive, solid-state drive, or USB flash drive, for initial use.",,,https://d3fend.mitre.org/technique/d3f:DiskFormatting/,d3fend
D3-DKP,Disk Partitioning,,"Disk Partitioning is the process of dividing a disk into multiple distinct sections, known as partitions.",,,https://d3fend.mitre.org/technique/d3f:DiskPartitioning/,d3fend
D3-DLIC,Driver Load Integrity Checking,,Ensuring the integrity of drivers loaded during initialization of the operating system.,,,https://d3fend.mitre.org/technique/d3f:DriverLoadIntegrityChecking/,d3fend
D3-DLV,Domain Logic Validation,,Validation of variable state in the context of the domain application.,,,https://d3fend.mitre.org/technique/d3f:DomainLogicValidation/,d3fend
D3-DNL,Directional Network Link,,Enforce one-way network communication by preventing two-way communication.,,,https://d3fend.mitre.org/technique/d3f:DirectionalNetworkLink/,d3fend
D3-DNR,Decoy Network Resource,,Deploying a network resource for the purposes of deceiving an adversary.,,,https://d3fend.mitre.org/technique/d3f:DecoyNetworkResource/,d3fend
D3-DNRA,Domain Name Reputation Analysis,,Analyzing the reputation of a domain name.,DomainName,,https://d3fend.mitre.org/technique/d3f:DomainNameReputationAnalysis/,d3fend
D3-DNSAL,DNS Allowlisting,,Permitting only approved domains and their subdomains to be resolved.,,,https://d3fend.mitre.org/technique/d3f:DNSAllowlisting/,d3fend
D3-DNSCE,DNS Cache Eviction,,Flushing DNS to clear any IP addresses or other DNS records from the cache.,,,https://d3fend.mitre.org/technique/d3f:DNSCacheEviction/,d3fend
D3-DNSDL,DNS Denylisting,,"Blocking DNS Network Traffic based on criteria such as IP address, domain name, or DNS query type.",,,https://d3fend.mitre.org/technique/d3f:DNSDenylisting/,d3fend
D3-DNSTA,DNS Traffic Analysis,,"Analysis of domain name metadata, including name and DNS records, to determine whether the domain is likely to resolve to an undesirable host.",OutboundInternetDNSLookupTraffic,,https://d3fend.mitre.org/technique/d3f:DNSTrafficAnalysis/,d3fend
D3-DO,Decoy Object,,A Decoy Object is created and deployed for the purposes of deceiving attackers.,Deceive,,https://d3fend.mitre.org/technique/d3f:DecoyObject/,d3fend
D3-DP,Decoy Persona,,"Establishing a fake online identity to misdirect, deceive, and or interact with adversaries.",,,https://d3fend.mitre.org/technique/d3f:DecoyPersona/,d3fend
D3-DPLM,Direct Physical Link Mapping,,Direct physical link mapping creates a physical link map by direct observation and recording of the physical network links.,,,https://d3fend.mitre.org/technique/d3f:DirectPhysicalLinkMapping/,d3fend
D3-DPR,Decoy Public Release,,Issuing publicly released media to deceive adversaries.,,,https://d3fend.mitre.org/technique/d3f:DecoyPublicRelease/,d3fend
D3-DQSA,Database Query String Analysis,,Analyzing database queries to detect [SQL Injection](https://capec.mitre.org/data/definitions/66.html).,DatabaseQuery,,https://d3fend.mitre.org/technique/d3f:DatabaseQueryStringAnalysis/,d3fend
D3-DRA,Disable Remote Access,,Limiting access to a computing device which is not required through or from a non-organization-controlled network.,,,https://d3fend.mitre.org/technique/d3f:DisableRemoteAccess/,d3fend
D3-DRT,Domain Registration Takedown,,The process of performing a takedown of the attacker's domain registration infrastructure.,,,https://d3fend.mitre.org/technique/d3f:DomainRegistrationTakedown/,d3fend
D3-DST,Decoy Session Token,,An authentication token created for the purposes of deceiving an adversary.,,,https://d3fend.mitre.org/technique/d3f:DecoySessionToken/,d3fend
D3-DTP,Domain Trust Policy,,Restricting inter-domain trust by modifying domain configuration.,,,https://d3fend.mitre.org/technique/d3f:DomainTrustPolicy/,d3fend
D3-DUC,Decoy User Credential,,A Credential created for the purpose of deceiving an adversary.,,,https://d3fend.mitre.org/technique/d3f:DecoyUserCredential/,d3fend
D3-EAL,Executable Allowlisting,,Using a digital signature to authenticate a file before opening.,,,https://d3fend.mitre.org/technique/d3f:ExecutableAllowlisting/,d3fend
D3-EBWSAM,Endpoint-based Web Server Access Mediation,,Endpoint-based web server access mediation regulates web server access directly from user endpoints by implementing mechanisms such as client-side certificates and endpoint security software to authenticate devices and ensure compliant access.,,,https://d3fend.mitre.org/technique/d3f:Endpoint-basedWebServerAccessMediation/,d3fend
D3-EDL,Executable Denylisting,,Blocking the execution of files on a host in accordance with defined application policy rules.,,,https://d3fend.mitre.org/technique/d3f:ExecutableDenylisting/,d3fend
D3-EF,Email Filtering,,Filtering incoming email traffic based on specific criteria.,,,https://d3fend.mitre.org/technique/d3f:EmailFiltering/,d3fend
D3-EFA,Emulated File Analysis,,Emulating instructions in a file looking for specific patterns.,DocumentFile|ExecutableFile,,https://d3fend.mitre.org/technique/d3f:EmulatedFileAnalysis/,d3fend
D3-EHB,Endpoint Health Beacon,,"Monitoring the security status of an endpoint by sending periodic messages with health status, where absence of a response may indicate that the endpoint has been compromised.",,,https://d3fend.mitre.org/technique/d3f:EndpointHealthBeacon/,d3fend
D3-EHPV,Exception Handler Pointer Validation,,Validates that a referenced exception handler pointer is a valid exception handler.,,,https://d3fend.mitre.org/technique/d3f:ExceptionHandlerPointerValidation/,d3fend
D3-EI,Execution Isolation,,"Execution Isolation techniques prevent application processes from accessing non-essential system resources, such as memory, devices, or files.",Isolate,,https://d3fend.mitre.org/technique/d3f:ExecutionIsolation/,d3fend
D3-ELM,Electronic Lock Monitoring,,"Monitoring electronic lock and door hardware states and access events (e.g., locked/unlocked, access granted/denied, door forced/held, tamper) to detect and respond to unauthorized entry.",,,https://d3fend.mitre.org/technique/d3f:ElectronicLockMonitoring/,d3fend
D3-EMH,Electromagnetic Radiation Hardening,,"The application of physical and material-level design measures to electronic systems, components, or facilities to reduce their susceptibility to damage or disruption from electromagnetic threats.",,,https://d3fend.mitre.org/technique/d3f:ElectromagneticRadiationHardening/,d3fend
D3-EPL,Physical Locking,,"Employ a mechanical locking device for securing moveable portions of physical barriers (e.g., doors, gates, drawers) in a secured position.",,,https://d3fend.mitre.org/technique/d3f:PhysicalLocking/,d3fend
D3-ER,Email Removal,,The email removal technique deletes email files from system storage.,,,https://d3fend.mitre.org/technique/d3f:EmailRemoval/,d3fend
D3-ET,Encrypted Tunnels,,Encrypted encapsulation of routable network traffic.,,,https://d3fend.mitre.org/technique/d3f:EncryptedTunnels/,d3fend
D3-FA,File Analysis,,"File Analysis is an analytic process to determine a file's status. For example: virus, trojan, benign, malicious, trusted, unauthorized, sensitive, etc.",Detect,,https://d3fend.mitre.org/technique/d3f:FileAnalysis/,d3fend
D3-FAPA,File Access Pattern Analysis,,Analyzing the files accessed by a process to identify unauthorized activity.,LocalResourceAccess,,https://d3fend.mitre.org/technique/d3f:FileAccessPatternAnalysis/,d3fend
D3-FBA,Firmware Behavior Analysis,,Analyzing the behavior of embedded code in firmware and looking for anomalous behavior and suspicious activity.,Firmware,,https://d3fend.mitre.org/technique/d3f:FirmwareBehaviorAnalysis/,d3fend
D3-FC,File Carving,,Identifying and extracting files from network application protocols through the use of network stream reassembly software.,FileTransferNetworkTraffic,,https://d3fend.mitre.org/technique/d3f:FileCarving/,d3fend
D3-FCA,File Creation Analysis,,Analyzing the properties of file create system call invocations.,CreateFile,,https://d3fend.mitre.org/technique/d3f:FileCreationAnalysis/,d3fend
D3-FCDC,File Content Decompression Checking,,Checking if compressed or encoded data sections can be successfully decompressed or decoded. Can follow with further analysis with semantic knowledge,FileContentBlockData,,https://d3fend.mitre.org/technique/d3f:FileContentDecompressionChecking/,d3fend
D3-FCOA,File Content Analysis,,Employing a pattern matching algorithm to statically analyze the content of files.,,,https://d3fend.mitre.org/technique/d3f:FileContentAnalysis/,d3fend
D3-FCR,File Content Rules,,Employing a pattern matching rule language to analyze the content of files.,,,https://d3fend.mitre.org/technique/d3f:FileContentRules/,d3fend
D3-FE,File Encryption,,Encrypting a file using a cryptographic key.,,,https://d3fend.mitre.org/technique/d3f:FileEncryption/,d3fend
D3-FEMC,Firmware Embedded Monitoring Code,,Monitoring code is injected into firmware for integrity monitoring of firmware and firmware data.,Firmware,,https://d3fend.mitre.org/technique/d3f:FirmwareEmbeddedMonitoringCode/,d3fend
D3-FEV,File Eviction,,File eviction techniques delete files from system storage.,,,https://d3fend.mitre.org/technique/d3f:FileEviction/,d3fend
D3-FFV,File Format Verification,,Verifying that a file conforms to its expected format specifications,FileSection,,https://d3fend.mitre.org/technique/d3f:FileFormatVerification/,d3fend
D3-FH,File Hashing,,Employing file hash comparisons to detect known malware.,,,https://d3fend.mitre.org/technique/d3f:FileHashing/,d3fend
D3-FHRA,File Hash Reputation Analysis,,Analyzing the reputation of a file hash.,FileHash,,https://d3fend.mitre.org/technique/d3f:FileHashReputationAnalysis/,d3fend
D3-FIM,File Integrity Monitoring,,Detecting any suspicious changes to files in a computer system.,File,,https://d3fend.mitre.org/technique/d3f:FileIntegrityMonitoring/,d3fend
D3-FISV,File Internal Structure Verification,,"The process of checking specific static values within a file, such as file signatures or magic numbers, to ensure they match the expected values defined by the file format specification.",FileContentBlock,,https://d3fend.mitre.org/technique/d3f:FileInternalStructureVerification/,d3fend
D3-FMBV,File Magic Byte Verification,,Utilizing the magic number to verify the file,FileMagicBytes,,https://d3fend.mitre.org/technique/d3f:FileMagicByteVerification/,d3fend
D3-FMCV,File Metadata Consistency Validation,,"The process of validating the consistency between a file's metadata and its actual content, ensuring that elements like declared lengths, pointers, and checksums accurately describe the file's content.",FileContentBlockData|FileMetadata,,https://d3fend.mitre.org/technique/d3f:FileMetadataConsistencyValidation/,d3fend
D3-FMVV,File Metadata Value Verification,,"The process of checking specific static values within a file, such as file signatures or magic numbers, to ensure they match the expected values defined by the file format specification.",FileFooterBlock|FileHeaderBlock,,https://d3fend.mitre.org/technique/d3f:FileMetadataValueVerification/,d3fend
D3-FRDDL,Forward Resolution Domain Denylisting,,Blocking a lookup based on the query's domain name value.,,,https://d3fend.mitre.org/technique/d3f:ForwardResolutionDomainDenylisting/,d3fend
D3-FRIDL,Forward Resolution IP Denylisting,,Blocking a DNS lookup's answer's IP address value.,,,https://d3fend.mitre.org/technique/d3f:ForwardResolutionIPDenylisting/,d3fend
D3-FV,Firmware Verification,,Cryptographically verifying firmware integrity.,,,https://d3fend.mitre.org/technique/d3f:FirmwareVerification/,d3fend
D3-HBPI,Hardware-based Process Isolation,,Preventing one process from writing to the memory space of another process through hardware based address manager implementations.,,,https://d3fend.mitre.org/technique/d3f:Hardware-basedProcessIsolation/,d3fend
D3-HBWP,Hardware-based Write Protection,,Physical methods of preventing data from being written to computer storage.,,,https://d3fend.mitre.org/technique/d3f:Hardware-basedWriteProtection/,d3fend
D3-HCI,Hardware Component Inventory,,Hardware component inventorying identifies and records the hardware items in the organization's architecture.,,,https://d3fend.mitre.org/technique/d3f:HardwareComponentInventory/,d3fend
D3-HD,Homoglyph Detection,,Comparing strings using a variety of techniques to determine if a deceptive or malicious string is being presented to a user.,Email|URL,,https://d3fend.mitre.org/technique/d3f:HomoglyphDetection/,d3fend
D3-HDDL,Hierarchical Domain Denylisting,,Blocking the resolution of any subdomain of a specified domain name.,,,https://d3fend.mitre.org/technique/d3f:HierarchicalDomainDenylisting/,d3fend
D3-HDL,Homoglyph Denylisting,,Blocking DNS queries that are deceptively similar to legitimate domain names.,,,https://d3fend.mitre.org/technique/d3f:HomoglyphDenylisting/,d3fend
D3-HR,Host Reboot,,Initiating a host's reboot sequence to terminate all running processes.,,,https://d3fend.mitre.org/technique/d3f:HostReboot/,d3fend
D3-HS,Host Shutdown,,Initiating a host's shutdown sequence to terminate all running processes.,,,https://d3fend.mitre.org/technique/d3f:HostShutdown/,d3fend
D3-IAA,Identifier Activity Analysis,,Taking known malicious identifiers and determining if they are present in a system.,Identifier,,https://d3fend.mitre.org/technique/d3f:IdentifierActivityAnalysis/,d3fend
D3-IBCA,Indirect Branch Call Analysis,,Analyzing vendor specific branch call recording in order to detect ROP style attacks.,,,https://d3fend.mitre.org/technique/d3f:IndirectBranchCallAnalysis/,d3fend
D3-ID,Identifier Analysis,,"Analyzing identifier artifacts such as IP address, domain names, or URL(I)s.",Detect,,https://d3fend.mitre.org/technique/d3f:IdentifierAnalysis/,d3fend
D3-IDA,Input Device Analysis,,Operating system level mechanisms to prevent abusive input device exploitation.,InputDevice,,https://d3fend.mitre.org/technique/d3f:InputDeviceAnalysis/,d3fend
D3-IHN,Integrated Honeynet,,The practice of setting decoys in a production environment to entice interaction from attackers.,,,https://d3fend.mitre.org/technique/d3f:IntegratedHoneynet/,d3fend
D3-IOPR,IO Port Restriction,,Limiting access to computer input/output (IO) ports to restrict unauthorized devices.,,,https://d3fend.mitre.org/technique/d3f:IOPortRestriction/,d3fend
D3-IPCTA,IPC Traffic Analysis,,Analyzing standard inter process communication (IPC) protocols to detect deviations from normal protocol activity.,IntranetIPCNetworkTraffic,,https://d3fend.mitre.org/technique/d3f:IPCTrafficAnalysis/,d3fend
D3-IPRA,IP Reputation Analysis,,Analyzing the reputation of an IP address.,IPAddress,,https://d3fend.mitre.org/technique/d3f:IPReputationAnalysis/,d3fend
D3-IRA,Identifier Reputation Analysis,,Analyzing the reputation of an identifier.,,,https://d3fend.mitre.org/technique/d3f:IdentifierReputationAnalysis/,d3fend
D3-IRV,Integer Range Validation,,Ensuring that an integer is within a valid range.,,,https://d3fend.mitre.org/technique/d3f:IntegerRangeValidation/,d3fend
D3-ISVA,Inbound Session Volume Analysis,,Analyzing inbound network session or connection attempt volume.,InboundInternetNetworkTraffic,,https://d3fend.mitre.org/technique/d3f:InboundSessionVolumeAnalysis/,d3fend
D3-ITF,Inbound Traffic Filtering,,Restricting network traffic originating from untrusted networks destined towards a private host or enclave.,,,https://d3fend.mitre.org/technique/d3f:InboundTrafficFiltering/,d3fend
D3-JFAPA,Job Function Access Pattern Analysis,,"Detecting anomalies in user access patterns by comparing user access activity to behavioral profiles that categorize users by role such as job title, function, department.",Authorization,,https://d3fend.mitre.org/technique/d3f:JobFunctionAccessPatternAnalysis/,d3fend
D3-KBPI,Kernel-based Process Isolation,,e.g. KVM,,,https://d3fend.mitre.org/technique/d3f:Kernel-basedProcessIsolation/,d3fend
D3-LAM,Local Account Monitoring,,Analyzing local user accounts to detect unauthorized activity.,LocalUserAccount,,https://d3fend.mitre.org/technique/d3f:LocalAccountMonitoring/,d3fend
D3-LAMED,LAN Access Mediation,,Layer 2 Enforcement,,,https://d3fend.mitre.org/technique/d3f:LANAccessMediation/,d3fend
